#,名前,メギド/ハルマ,メジャー,ヒント1,ヒント2,ヒント3,正式名称,出典
M17,アドラメレク,メギド,TRUE,アジトを襲撃した。,フォトン奪取が有効。覚醒減少も有効。,地獄の辞典にその名前の記載がある。,アドラメレク,6章 ヴァイガルド防衛線 2節 (他3)
M18,アリキノ,メギド,,サタナイルの元部下。,,おそらく元ネタはダンテの「神曲」の悪魔,アリキノ,キミに捧げし大地のソナタ (他1)
M19,ドラギナッツオ,メギド,TRUE,懲罰局所属。,フォトンインパルスと火属性攻撃をしてくる。,おそらく元ネタはダンテの「神曲」の悪魔,ドラギナッツオ,サタナイルキャラスト (他1)
M20,セメルーゼ,メギド,TRUE,不沈軍団マモランティス所属。,議席もち。,,軍団長セメルーゼ,6章 ヴァイガルド防衛線 3節
M21,サブブカ,メギド,TRUE,不沈軍団マモランティス所属。,,,軍団副官サブブカ,6章 ヴァイガルド防衛線 3節
M22,メンドーサ,メギド,TRUE,不沈軍団マモランティス所属。,,,侵略魔兵メンドーサ,6章 ヴァイガルド防衛線 3節
M23,ツギガル,メギド,TRUE,不沈軍団マモランティス所属。,,,侵略魔兵ツギガル,6章 ヴァイガルド防衛線 3節
M24,アキレテス,メギド,,不沈軍団マモランティス所属。,,,侵略魔兵アキレテス,6章 ヴァイガルド防衛線 3節
M25,ボヤーク,メギド,,不沈軍団マモランティス所属。,,,侵略魔兵ボヤーク,6章 ヴァイガルド防衛線 3節
M26,ケイカ,メギド,,不沈軍団マモランティス所属。,,,侵略魔兵ケイカ,6章 ヴァイガルド防衛線 3節
M27,ナランゾン,メギド,,不沈軍団マモランティス所属。,,,侵略魔兵ナランゾン,6章 ヴァイガルド防衛線 3節
M28,マラコーダ,メギド,TRUE,ヒュトギンの元上官。,,おそらく元ネタはダンテの「神曲」の悪魔,マラコーダ,その交渉は平和のために (他3)
M29,カルカ,メギド,,,,,カルカ,ヒュトギンキャラスト (他2)
M30,チリアット,メギド,TRUE,べバルやアバラムの元上官。,バロールとは一時期同じ軍団にいた。,おそらく元ネタはダンテの「神曲」の悪魔,チリアット,見習い女王と筋肉の悪魔 (他4)
M31,シオハオ,メギド,TRUE,アスラフィルの監視役。,リャナンシィとは子育て旅団が同じ。,,シオハオ,アスラフィルキャラスト (他1)
M32,イオド,メギド,TRUE,アクィエルと再戦の誓いをした。,レナトゥスで魂を混ぜられた。,おそらく元ネタはクトゥルフ神話,イオド,魔獅子と聖女と吸血鬼 (他1)
M33,アザト,メギド,,,,おそらく元ネタはクトゥルフ神話,アザト,アクィエルキャラスト
M34,ギガス,メギド,TRUE,死を招く邪本を著した。,追放された。,,ギガス,死を招く邪本ギギガガス
M35,ウィチセ,メギド,TRUE,罵美優蛇総長。,凍結特効攻撃をしてくる。,戦闘不能の味方がいると攻撃力が上がる。,ウィチセ,7章 メギドラル潜入 2節 (他4)
M36,ハヤイカ,メギド,TRUE,罵美優蛇所属。,,,ハヤイカ,7章 メギドラル潜入 2節 (他4)
M37,クツロギン,メギド,TRUE,くつろいでいた。,,,クツロギン,7章 メギドラル潜入 2節 (他2)
M38,タシード,メギド,,番魚はどうしたか尋ねた。,,,タシード,7章 メギドラル潜入 2節 (他2)
M39,カイル,メギド,TRUE,罵美優蛇元副総長。,全体化を全体化する。,感電が有効。,カイル,7章 メギドラル潜入 2節 (他6)
M40,バレリコ,メギド,,,,,バレリコ,オリエンスキャラスト (他7)
M41,トリゲン,メギド,,,,,トリゲン,オリエンスキャラスト (他7)
M42,ハンミー,メギド,,,,,ハンミー,オリエンスキャラスト (他7)
M43,グンシー,メギド,,,,,参謀グンシー,オリエンスキャラスト (他7)
M44,アタッカス,メギド,,,,,チリアット軍団アタッカス,オリエンスキャラスト
M45,カバウス,メギド,,,,,チリアット軍団カバウス,オリエンスキャラスト
M46,ベロバッカ,メギド,,ニスロク、オリエンスの元上官。,,,軍団長ベロバッカ,美味礼讃ノ魔宴 前編 (他2)
M47,ホルン,メギド,TRUE,ゲートを拡張する能力をもつ。,励起で連続攻撃してくる。,,ホルン,7章 メギドラル潜入 3節
M256,クダクター,メギド,,ホルンと一緒にゲート拡張をしていた。,励起で連続攻撃してくる。,,クダクター,ホルンの取り巻き
M257,ケズリナ,メギド,,ホルンと一緒にゲート拡張をしていた。,励起で連続攻撃してくる。,,ケズリナ,ホルンの取り巻き
M48,アッキピテル,メギド,TRUE,バラムの元部下。,牙の内海を巡る戦いで中央側の軍団長だった。,おそらく元ネタはラテン語で「鷹」。,アッキピテル,7章 メギドラル潜入 3節
M49,カドワッカ,メギド,,,,,カドワッカ,ニバスBキャラスト
M50,サライ,メギド,,,,,サライ,ニバスBキャラスト
M51,リモウム,メギド,,リビコの部下。,寄生メギドの研究成果を盗もうとした。,寄生メギドに魂を喰われ死亡した。,リモウム,サタナキアBキャラスト (他1)
M52,ブライ,メギド,,リビコの部下。,寄生メギドアナキスの研究をしていた。,アシュレイに殺された。,ブライ,サタナキアBキャラスト (他1)
M53,アブナ,メギド,,リビコの部下。,寄生メギドアナキスの研究をしていた。,虫の生態に関心を持っていた。,アブナ,サタナキアBキャラスト (他1)
M54,リャナンシィ,メギド,TRUE,ガンコナーの弟子。　,寄生虫幻獣パラジスを使用した。,おそらく元ネタはアイルランドの妖精。,リャナンシィ,師の想い、弟子の想い
M55,ガンコナー,メギド,TRUE,フルフルにおいしいを教えた。,寄生幻獣パラジスを発見した。,おそらく元ネタはアイルランドの妖精。,ガンコナー,師の想い、弟子の想い (他1)
M56,ハイザーン,メギド,,,,,軍団長ハイザーン,フルフルCキャラスト
M57,イメーツ,メギド,,,,,副官イメーツ,フルフルCキャラスト
M58,カナッゾ,メギド,,,,おそらく元ネタはダンテの「神曲」の悪魔,軍団長カナッゾ,フルフルCキャラスト
M59,ザリチェ,メギド,,医療メギド。,ユフィールの知人。,おそらく元ネタは元ネタはゾロアスター教,ザリチェ,ユフィールCキャラスト
M60,ドゥルジ,メギド,,,,おそらく元ネタは元ネタはゾロアスター教,ドゥルジ,ユフィールCキャラスト
M61,リコレッキ,メギド,TRUE,,,,リコレッキ,8章 第三計画 1節
M62,テガツメ,メギド,TRUE,手が爪っぽい。,,,侵略兵テガツメ,不死の幻獣と失いし過去
M63,アカゲイ,メギド,TRUE,赤毛っぽい。,,,侵略兵アカゲイ,不死の幻獣と失いし過去
M64,ボッチキス,メギド,,,,,ボッチキス,8章 第三計画 2節
M65,ムオデル,メギド,,,,,ムオデル,知の幻獣と悲しき対話 (他1)
M66,ブリナ,メギド,,,,,ブリナ,知の幻獣と悲しき対話 (他1)
M67,ストレピ,メギド,,,,,ストレピ,ダンタリオンRキャラスト
M68,ロンガ,メギド,,,,,ロンガ,ダンタリオンRキャラスト
M69,ゲケン,メギド,,,,,ゲケン,ダンタリオンRキャラスト
M70,イステッカ,メギド,,,,,イステッカ,ダンタリオンRキャラスト
M71,コスーイ,メギド,,,,,コスーイ,ベヒモスBキャラスト
M72,モンジーン,メギド,,,,,モンジーン,カジノ！―勝利の方程式― (他1)
M73,スプリット,メギド,,,,,「カジノ」幹部スプリット,カジノ！―勝利の方程式―
M74,メリディアナ,メギド,,「カジノ」軍団長となった,幻獣体の名前はシルヴェステ,おそらく元ネタは「宮廷人の閑話」,メリディアナ,カジノ！―勝利の方程式―
M75,テゴワーイ,メギド,,,,,テゴワーイ,グザファンキャラスト
M76,タクラーム,メギド,,,,,タクラーム,グザファンキャラスト
M77,ソート,メギド,,,,,「カジノ」構成員ソート,ミノソンキャラスト
M78,ウーマ,メギド,,,,,「カジノ」構成員ウーマ,ミノソンキャラスト
M79,インガセクト,メギド,TRUE,マモン親衛隊。,使者ごときの分際で上に立とうとした。,最大HPの30％以下のダメージを無効化する。,インガセクト,8章 第三計画 3節 (他1)
M80,ホーコック,メギド,,マモン親衛隊。,,,ホーコック,8章 第三計画 3節 (他1)
M81,サンシタン,メギド,,,,,サンシタン,暴走児バラキエル！
M82,アヤトゥール,メギド,,,,,アヤトゥール,暴走児バラキエル！
M83,グローシタ,メギド,,,,,グローシタ,暴走児バラキエル！
M84,オーメニミル,メギド,,,,,軍団長オーメニミル,暴走児バラキエル！ (他1)
M85,タイガンニール,メギド,TRUE,マモン親衛隊。,防御力が高く、防御依存攻撃もしてくる。,対岸にいる。　星間の塔にもいる。,タイガンニール,8章 第三計画 4節 (他3)
M86,テッキトゥ,メギド,,,,,テッキトゥ,マモンキャラスト
M87,トークス,メギド,,,,,トークス,マモンキャラスト
M88,マテヨン,メギド,,,,,議会の騎士マテヨン,メギドラルの悲劇の騎士
M89,リリィ,メギド,,夢見の者。,,,リリィ,メギドラルの悲劇の騎士
M90,リリモ,メギド,,夢見の者。,,,リリモ,メギドラルの悲劇の騎士
M91,リリア,メギド,,夢見の者。,,,リリア,メギドラルの悲劇の騎士
M92,リリエ,メギド,,夢見の者。,,,リリエ,メギドラルの悲劇の騎士
M93,ナブール,メギド,,懲罰局所属。,,,ナブール,恋は拷問、愛は処刑
M94,モノバゾス,メギド,,,,,モノバゾス,そして灯火は静かに消える
M95,ジェヴォーダン,メギド,TRUE,,,,ジェヴォーダン,そして灯火は静かに消える
M96,ケーダシン,メギド,TRUE,,,,ケーダシン,9章 懲罰局壊滅 1節 (他1)
M97,オーシェ,メギド,,,,,オーシェ,プルソンBキャラスト (他1)
M98,ヨゴシ,メギド,,,,,ヨゴシ,プルソンBキャラスト
M99,マセタン,メギド,TRUE,フライナイツ所属。,キーキーという幻獣を相棒にしていた。,怒闘を展開しバーサークする。,マセタン,プルソンBキャラスト (他1)
M100,トゥゲッチ,メギド,,,,,トゥゲッチ,プルソンBキャラスト
M101,コマルゼイ,メギド,,,,,コマルゼイくん,プルソンBキャラスト
M102,シナナイン,メギド,TRUE,フライナイツ所属。,取り巻きが生きている間は死なない。,,シナナイン,プルソンBキャラスト (他1)
M103,クレンチン,メギド,,,,,クレンチン,この手にかつての栄光を
M104,ダイダロス,メギド,,,,,ダイダロス,この手にかつての栄光を (他1)
M105,ウボム,メギド,,,,,軍団長ウボム,ブリフォーキャラスト
M106,サンボーン,メギド,,,,,サンボーン,ブリフォーキャラスト
M107,ノーキン,メギド,,,,,ノーキン,ブリフォーキャラスト
M108,ヨワキム,メギド,,,,,ヨワキム,ブリフォーキャラスト
M109,ソレナリィ,メギド,,,,,ソレナリィ,ブリフォーキャラスト
M110,ソコソッコ,メギド,,,,,ソコソッコ,ブリフォーキャラスト
M111,メガイー,メギド,,,,,メガイー,ブリフォーキャラスト
M112,コザイク,メギド,,,,,軍団長コザイク,ブリフォーキャラスト
M113,ヤブレカブレ,メギド,TRUE,,,,ヤブレカブレ,9章 懲罰局壊滅 2節 (他1)
M114,サイゼン,メギド,,,,,サイゼン,9章 懲罰局壊滅 2節 (他1)
M115,ザミエル,メギド,,,,おそらく元ネタは「魔弾の射手」の悪魔,ザミエル,トーア公御前試合
M116,ウゴーノシュ,メギド,,,,,ウゴーノシュ,トーア公御前試合
M117,ヒトカラゲ,メギド,,,,,ヒトカラゲ,トーア公御前試合
M118,メサジェ,メギド,,,,,メサジェ,変わる心、変わらぬ心
M119,エスピオン,メギド,,,,,エスピオン,変わる心、変わらぬ心 (他2)
M120,コローシャ,メギド,,,,,コローシャ,変わる心、変わらぬ心
M121,アッサシ,メギド,,,,,アッサシ,変わる心、変わらぬ心
M122,ラギル,メギド,,,,,ラギル,変わる心、変わらぬ心 (他1)
M123,ニーガス,メギド,,,,,ニーガス,変わる心、変わらぬ心 (他1)
M124,ガーディ,メギド,,,,,ガーディ,アロケルRキャラスト
M125,コゴトン,メギド,,,,,コゴトン,其は素晴らしき戦士の器 (他1)
M126,オキタエル,メギド,,,,,オキタエル,険しく長き筋肉の道！
M127,プルトン,メギド,TRUE,異世界侵攻作戦総指揮官。,元夢見の者。,おそらく元ネタはローマ神話,プルトン,9章 懲罰局壊滅 3節 (他10)
M128,グウィルギィ,メギド,TRUE,ワイルド・ハントの副官。,,,グウィルギィ,WILD HUNT 前編 獣たちの集う場所 (他2)
M129,エルドラコ,メギド,,ワイルド・ハントの軍団長。,,,エルドラコ,WILD HUNT 前編 獣たちの集う場所 (他2)
M130,ハズサーン,メギド,,,,,ハズサーン,WILD HUNT 前編 獣たちの集う場所 (他2)
M131,ツガエル,メギド,,,,,ツガエル,WILD HUNT 前編 獣たちの集う場所 (他2)
M132,カカルドゥ,メギド,,,,,カカルドゥ,WILD HUNT 前編 獣たちの集う場所 (他1)
M133,イコロス,メギド,,,,,イコロス,WILD HUNT 前編 獣たちの集う場所 (他2)
M134,ギョフノリィ,メギド,,,,,議会の騎士ギョフノリィ,WILD HUNT 前編 獣たちの集う場所
M135,セイロンダガー,メギド,,,,,軍団長セイロンダガー,ゲイボルグキャラスト
M136,バントー,メギド,,,,,バントー,商売人たちのブルース
M137,グレシャム,メギド,TRUE,,,おそらく元ネタは経済学の法則,グレシャム,商売人たちのブルース (他1)
M138,ドコミテン,メギド,,,,,ドコミテン,商売人たちのブルース
M139,ダレヤネン,メギド,,,,,ダレヤネン,商売人たちのブルース
M140,テダイ,メギド,,,,,テダイ,商売人たちのブルース (他1)
M141,オードル,メギド,,,,,オードル,9章 懲罰局壊滅 4節
M142,トーミル,メギド,,,,,トーミル,9章 懲罰局壊滅 4節
M143,ネブカドネザル,メギド,,,,,ネブカドネザル,復讐の悪魔と怨讐の魔人
M144,コシチェイ,メギド,TRUE,あるペクスに名前を奪われた。,,おそらく元ネタはスラヴ神話,コシチェイ,アリオクキャラスト
M145,ポベートール,メギド,,,,,ポベートール,君はもう、1人じゃない
M146,ファルファレロ,メギド,,,,おそらく元ネタはダンテの「神曲」の悪魔,ファルファレロ,君はもう、1人じゃない
M147,エリク,メギド,,,,,エリク,不死者バエルの切なる願い
M148,ムチャリンダ,メギド,TRUE,,,おそらく元ネタはインド神話,軍団長ムチャリンダ,その優しさに意味がある (他8)
M149,ギリメカラ,メギド,TRUE,,,おそらく元ネタはスリランカ・インド神話,ギリメカラ,彼の者、東方より来たり (他11)
M150,マガツヒ,メギド,TRUE,,,おそらく元ネタは日本神話,マガツヒ,彼の者、東方より来たり (他11)
M151,オズワリ,メギド,,議席管理官。,セメルーゼの友人。,,オズワリ,10章 マグナ・レギオ 2節 (他1)
M152,イキリオー,メギド,TRUE,バチクソ撃破団の軍団長。,,,英雄イキリオー,10章 マグナ・レギオ 2節 (他1)
M153,ドローヌマン,メギド,,ヘドロドロップの軍団長。,,,ドローヌマン団長,10章 マグナ・レギオ 2節
M154,アツメラルダ,メギド,,,,,軍団長アツメラルダ,10章 マグナ・レギオ 2節
M155,カタギ,メギド,,,,,カタギ,10章 マグナ・レギオ 2節 (他3)
M156,ワレェ,メギド,,,,,ワレェ,10章 マグナ・レギオ 2節 (他3)
M157,ニクー,メギド,,,,,ニクー軍団長,10章 マグナ・レギオ 2節 (他1)
M158,ダンセ,メギド,,,,,ダンセ副長,10章 マグナ・レギオ 2節
M159,シャドウギャクソン,メギド,,,,,シャドウ・ギャクソン,10章 マグナ・レギオ 2節 (他2)
M160,インシュウ,メギド,,,,,インシュウ,10章 マグナ・レギオ 2節 (他2)
M161,ムーメン,メギド,,,,,ムーメン,10章 マグナ・レギオ 2節
M162,スマホミー,メギド,,,,,スマホミー,10章 マグナ・レギオ 2節
M163,アオリウンデ,メギド,,,,,アオリウンデ,10章 マグナ・レギオ 2節 (他2)
M164,ミマモラー,メギド,,,,,ミマモラー,10章 マグナ・レギオ 2節
M165,マッカーセイル,メギド,,リバイバイルをプロセルピナに任せた。,,,マッカーセイル,10章 マグナ・レギオ 2節 (他1)
M166,リバイバイル,メギド,TRUE,,,,リバイバイル,10章 マグナ・レギオ 2節 (他10)
M167,トメラニアン,メギド,,,,,トメラニアン副団長,10章 マグナ・レギオ 2節 (他3)
M168,トビー,メギド,,,,,トビー軍団長,10章 マグナ・レギオ 2節 (他4)
M169,ハッタリッパー,メギド,,,,,ハッタリッパー,10章 マグナ・レギオ 2節
M170,シーネ,メギド,,,,,シーネ,10章 マグナ・レギオ 2節 (他1)
M171,オムカ,メギド,,,,,オムカ,10章 マグナ・レギオ 2節
M172,ネガティ,メギド,,総司令アルマロス配下のゲストレイス軍団の副団長。,,,ネガティ,10章 マグナ・レギオ 2節 (他2)
M173,ズルコワルコ,メギド,TRUE,拒絶区画の中で物品を配っていた。,妄戦ちゃんの知人。,,ズルコワルコ,10章 マグナ・レギオ 2節 (他1)
M174,モドリー,メギド,,,,,モドリー,10章 マグナ・レギオ 2節
M175,シルバホン,メギド,,,,おそらく元ネタは「西遊記」,シルバホン,継承せし者たち (他5)
M176,タイガーセンポ,メギド,TRUE,,,おそらく元ネタは「西遊記」,タイガーセンポ,継承せし者たち (他7)
M177,ゲストレイス,メギド,TRUE,総司令アルマロス配下の軍団長。,,,ゲストレイス,10章 マグナ・レギオ 3節 ステージ103 (他9)
M178,プロセルピナ,メギド,TRUE,メギド８魔星の一人。,儚い。,おそらく元ネタはギリシャ神話,プロセルピナ,10章 マグナ・レギオ 3節 ステージ104 (他11)
M179,ダイオーン,メギド,,,,,軍団長ダイオーン,閉ざされた世界の中で
M180,モンゴール,メギド,,,,,副官モンゴール,閉ざされた世界の中で
M181,ウェンディゴ,メギド,TRUE,,,おそらく元ネタは北アメリカ伝承,ウェンディゴ,When'd he go into there？
M182,ゼッコロ,メギド,,,,,ゼッコロ,アスモデウスRキャラスト
M183,ゴルドホン,メギド,,,,おそらく元ネタは「西遊記」,ゴルドホン,艶なる狐、夢のまにまに (他3)
M184,センコック,メギド,,,,,センコック,信頼と可能性
M185,コーサラウ,メギド,,,,,コーサラウ,信頼と可能性
M186,ワラベトール,メギド,,,,,ワラベトール,信頼と可能性
M187,ニューカマ,メギド,,,,,ニューカマ,ウァラクCキャラスト
M188,シーニア,メギド,,,,,シーニア,ウァラクCキャラスト
M189,オネスト,メギド,,,,,オネスト,ウァラクCキャラスト
M190,ボヤクーナ,メギド,,,,,ボヤクーナ,グレモリーRキャラスト
M191,デスガ,メギド,,,,,デスガ,グレモリーRキャラスト
M192,ロックロー,メギド,,,,,ロック・ロー,龍馬相搏、腥風不已 (他1)
M193,ヒットバン,メギド,,,,,ヒットバン,龍馬相搏、腥風不已 (他1)
M194,ペナンガラン,メギド,,,,,ペナンガラン,龍馬相搏、腥風不已 (他1)
M195,ラーフ,メギド,,,,,ラーフ,龍馬相搏、腥風不已 (他1)
M196,ファンブラン,メギド,,,,,ファンブラン,11章 激動のメギドラル 1節 ステージ109
M197,ボロボロス,メギド,,,,,ボロボロス,ソロモン王の日常・春
M198,レオナール,メギド,TRUE,フライナイツ所属。,整った。,地獄の辞典にその名前の記載がある。,レオナール,11章 激動のメギドラル 1節 ステージ110 (他8)
M199,ニョイフレッシュ,メギド,TRUE,モレクの腹心。総参謀長。,,おそらく元ネタは「西遊記」,ニョイフレッシュ,吼えよ、カクリヨの白い虎 (他6)
M200,コスカライオン,メギド,,,,,コスカライオン,吼えよ、カクリヨの白い虎 (他1)
M201,ザコイヤ,メギド,,,,,ザコイヤ,11章 激動のメギドラル 1節 ステージ111
M202,ウニノセール,メギド,,,,,ウニノセール,真味、ただこれ淡なれば
M203,トリフマゼンタ,メギド,,,,,トリフマゼンタ,真味、ただこれ淡なれば
M204,アブラポス,メギド,,,,,アブラポス,真味、ただこれ淡なれば
M205,ショッパイン,メギド,,,,,ショッパイン,真味、ただこれ淡なれば
M206,ホイクイーン,メギド,,,,,ホイクイーン,11章 激動のメギドラル 2節 ステージ112
M207,ストゥム,メギド,TRUE,フライナイツ所属のイレーザー。,幻獣を介して妖蛆と接触できる。,,ストゥム,11章 激動のメギドラル 2節 ステージ112
M208,ケノックス,メギド,,,,,ケノックス,ソロモン王の日常・夏
M209,ショックジョー,メギド,,,,,ショック・ジョー,ソロモン王の日常・夏
M210,セプテントリオン,メギド,TRUE,かつてオリエンスのライバル的存在だった。,狙撃銃を扱い遠距離からの攻撃を得意とする。,おそらく元ネタはラテン語で「北斗七星」,セプテントリオン,銃と私とあいつとそいつ
M211,スジトゥス,メギド,,,,,スジトゥス,銃と私とあいつとそいつ
M212,ギリガティ,メギド,,,,,副官ギリガティ,銃と私とあいつとそいつ
M213,デミウルゴス,メギド,TRUE,,,おそらく元ネタはプラトンの「ティマイオス」,デミウルゴス,11章 激動のメギドラル 2節 ステージ113 (他6)
M214,チャラケル,メギド,,,,,チャラケル,オリエンスBキャラスト
M215,インフム,メギド,,,,,インフム,オリエンスBキャラスト
M216,ラッカン,メギド,,,,,ラッカン,オリエンスBキャラスト
M217,ガルデニング,メギド,TRUE,,,,ガルデニング,食べて育てて分け合って
M218,オハナヴァタケ,メギド,,,,,オハナヴァタケ,食べて育てて分け合って
M219,ヴィニルハウズ,メギド,,,,,ヴィニルハウズ,食べて育てて分け合って
M220,ファナティッカ,メギド,,,,,ファナティッカ,11章 激動のメギドラル 3節 ステージ115
M221,リリル,メギド,,,,,夢見のリリル,それは、逃れ得ぬ呪縛 (他2)
M222,サラウンピョウ,メギド,,,,,サラウンピョウ,それは、逃れ得ぬ呪縛
M223,モノシリィ,メギド,,,,,モノシリィ,母と子と、おかーさんと
M224,クイークェグ,メギド,,,,おそらく元ネタは「白鯨」,クイークェグ,母と子と、おかーさんと
M225,イシュメール,メギド,,,,おそらく元ネタは「白鯨」,イシュメール,母と子と、おかーさんと
M226,エイハブ,メギド,TRUE,,,おそらく元ネタは「白鯨」,エイハブ,母と子と、おかーさんと
M227,スターバック,メギド,TRUE,,,おそらく元ネタは「白鯨」,スターバック,母と子と、おかーさんと
M228,タシュテゴ,メギド,,,,おそらく元ネタは「白鯨」,タシュテゴ,母と子と、おかーさんと
M229,クジョコ,メギド,,,,,クジョコ,ソロモン王の日常・冬
M230,クサムシュリ,メギド,,人間牧場の管理者メギド。,,,クサムシュリ,11章 激動のメギドラル 4節 ステージ118
M231,モーニゲル,メギド,,,,,モーニゲル,11章 激動のメギドラル 4節 ステージ120
M232,マモリキレン,メギド,,,,,防衛隊長マモリキレン,帰らばや、我が故郷へ
M233,トンデーン,メギド,,,,,トンデーン,帰らばや、我が故郷へ
M234,カイタック,メギド,,,,,カイタック,帰らばや、我が故郷へ
M235,ラプラス,メギド,TRUE,追放メギド。,記憶を読む能力があった。,おそらく元ネタは決定論。,ラプラス,12章 そして世界が生まれる 1節 ステージ121 (他1)
M236,ヤヌス,メギド,TRUE,追放メギド。,時間遡行ゲートを発見し、利用した。,おそらく元ネタはローマ神話,ヤヌス,12章 そして世界が生まれる 1節 ステージ121 (他2)
M237,ムコイコカ,メギド,,ダムロックをサタンの元まで案内した。,,,ムコイコカ,12章 そして世界が生まれる 1節 ステージ122 (他1)
M238,アザメザラク,メギド,,,,,アザメザラク,ソロモン王と呪いの人形
M239,タスケネイ,メギド,,,,,タスケネイ,サタンキャラスト
M240,ゴルディン,メギド,,,,,ゴルディン,12章 そして世界が生まれる 2節 ステージ125
M241,パイロキシアン,メギド,TRUE,,,,パイロキシアン,12章 そして世界が生まれる 2節 ステージ126
M242,イクサシタ,メギド,,,,,イクサシタ,12章 そして世界が生まれる 3節 ステージ127
M243,ニューリアン,メギド,,,,,ニューリアン,12章 そして世界が生まれる 3節 ステージ128 (他1)
M244,シンクシング,メギド,,,,,シンクシング,12章 そして世界が生まれる 3節 ステージ128 (他1)
M245,ヤルーゼ,メギド,,,,,ヤルーゼ,12章 そして世界が生まれる 3節 ステージ128 (他1)
M246,オレンスバイ,メギド,,,,,オレンスバイ,12章 そして世界が生まれる 3節 ステージ129
M247,モードリタイン,メギド,,,,,モードリタイン,エピローグ
M248,ムボーダン,メギド,TRUE,二手に分かれても二倍頑張れば互角であると説いた。,,,ムボーダン（脳筋参謀）,脳筋参謀メギド
M249,アルスノヴァ,メギド,TRUE,エルダーとなった。,,,アルス・ノヴァ,エルダー
M250,エリダヌス,メギド,TRUE,かつて存在したとされ、６体の兵器のもとになった。,,,エリダヌス,ザウラクたちの元になったメギド
M251,ヒュプノス,メギド,,,,,ヒュプノス,11章 激動のメギドラル 3節 ステージ117
M252,メギラオン,メギド,,黒い犬。ナンバー002。,,,メギラオン,サタンの取り巻き　００２
M253,トリギラン,メギド,,黒い犬。ナンバー003。,,,トリギラン,サタンの取り巻き　００３
M254,アノウノン,メギド,TRUE,ぺクスにフォトンバーストした。,,,アノウノン,メインクエスト・ステージ118
M255,アカマル,メギド,TRUE,ゲートを守っていた。,,,アカマル,メインクエスト・ステージ8
M256,バーバヤガ,メギド,FALSE,南の理術研究院の長。,,おそらく元ネタはスラヴ民話,バーバヤガ,
H1,ガブリエル,ハルマ,TRUE,,,,ガブリエル,1章 辺境の剣 (他52)
H2,カマエル,ハルマ,TRUE,,,,カマエル,2章 王都の盾 (他46)
H3,ミカエル,ハルマ,TRUE,,,,ミカエル,3章 赤い月 (他16)
H4,コロスエル,ハルマ,TRUE,,,,コロスエル,10章 マグナ・レギオ 3節 ステージ105
H5,ヨリソエル,ハルマ,,,,,ヨリソエル,10章 マグナ・レギオ 3節 ステージ105 (他6)
H6,パットキエル,ハルマ,TRUE,,,,パットキエル,10章 マグナ・レギオ 3節 ステージ105
H7,ジットタエル,ハルマ,TRUE,,,,ジットタエル,10章 マグナ・レギオ 3節 ステージ105
H8,テレルエル,ハルマ,,,,,テレルエル,10章 マグナ・レギオ 3節 ステージ105
H9,キガエル,ハルマ,,騎士団に化けてメギド72を監視していたが、バレて着替えた。,,,キガエル,10章 マグナ・レギオ 3節 ステージ105 (他1)
H10,デテキエル,ハルマ,,,,,デテキエル,10章 マグナ・レギオ 3節 ステージ105 (他1)
H11,フセギエル,ハルマ,,,,,フセギエル,10章 マグナ・レギオ 4節 ステージ106
H12,スナッフエル,ハルマ,TRUE,,,,スナッフエル,10章 マグナ・レギオ 4節 ステージ106
H13,サイコエル,ハルマ,,,,,サイコエル,10章 マグナ・レギオ 4節 ステージ106 (他1)
