No.,メギド名,入手手段,スタイル,クラス,攻撃回数(シフト後も含む）,飛行している,身長,性別,年齢,誕生日/転生日,内部属性,,,,,
祖19,サレオス,召喚,バースト,ファイター,,,165,男性,25,7月9日,水,,,,,
祖20,プルソンB,メイン,バースト,トルーパー,,,166,男性,16,4月23日,地,,,,,
祖20,プルソン,召喚,ラッシュ,トルーパー,,,166,男性,16,4月23日,地,,,,,
祖21,モラクスR,召喚,ラッシュ,ファイター,2,,151,男性,15,9月9日,火,,,,,
祖21,モラクス,メイン,バースト,ファイター,,,151,男性,15,9月9日,火,,,,,
祖22,イポスC,イベント,カウンター,ファイター,,,187,男性,37,12月27日,水,,,,,
祖22,イポス,召喚,ラッシュ,ファイター,,,187,男性,37,12月27日,水,,,,,
祖23,アイムR,召喚,ラッシュ,スナイパー,,,160,女性,,6月11日,水,,,,,
祖23,アイム,召喚,バースト,スナイパー,,,160,女性,,6月11日,火,,,,,
祖24,ナベリウスB,召喚,バースト,トルーパー,,,162,女性,20,4月28日,火,,,,,
祖24,ナベリウス,召喚,ラッシュ,トルーパー,,,162,女性,20,4月28日,火,,,,,
祖25,グラシャラボラスC,召喚,カウンター,トルーパー,,,182,男性,24,5月11日,雷,,,,,
祖25,グラシャラボラス,召喚,バースト,トルーパー,,,182,男性,24,5月11日,水,,,,,
祖26,ブネB,召喚,バースト,ファイター,,,195,男性,41,11月29日,地,,,,,
祖26,ブネ,メイン,ラッシュ,ファイター,,,195,男性,41,11月29日,地,,,,,
祖27,ロノウェR,召喚,ラッシュ,ファイター,,,170,男性,18,12月5日,水,,,,,
祖27,ロノウェ,召喚,カウンター,ファイター,,,170,男性,18,12月5日,水,,,,,
祖28,ベリトB,イベント,バースト,ファイター,,,180,男性,,3月11日,雷,,,,,
祖28,ベリト,召喚,カウンター,ファイター,,,180,男性,,3月11日,雷,,,,,
祖29,アスタロトB,召喚,バースト,ファイター,,,170,女性,21,10月5日,雷,,,,,
祖29,アスタロト,召喚,ラッシュ,ファイター,,,170,女性,21,10月5日,氷,,,,,
祖30,フォルネウスB,召喚,バースト,トルーパー,,,178,男性,25,1月29日,氷,,,,,
祖30,フォルネウス,召喚,カウンター,トルーパー,,,178,男性,25,1月29日,氷,,,,,
祖31,フォラスC,イベント,カウンター,スナイパー,,,176,男性,36,10月10日,地,,,,,
祖31,フォラス,召喚,バースト,スナイパー,,,176,男性,36,10月10日,地,,,,,
祖32,アスモデウスR,特異限定,ラッシュ,ファイター,2,,186,女性,,11月18日,火,,,,,
祖32,アスモデウス,メイン,バースト,ファイター,,,186,女性,,11月18日,火,,,,,
祖33,ガープR,召喚,ラッシュ,ファイター,,,178,男性,22,12月7日,火,,,,,
祖33,ガープ,メイン,カウンター,ファイター,,,178,男性,22,12月7日,火,,,,,
祖34,フルフルC,召喚,カウンター,スナイパー,,,152,女性,,2月9日,雷,,,,,
祖34,フルフル,召喚,バースト,スナイパー,,,152,女性,,2月9日,雷,,,,,
祖35,マルコシアスB,召喚,バースト,スナイパー,,,160,女性,23,6月6日,火,,,,,
祖35,マルコシアス,メイン,カウンター,スナイパー,,,160,女性,23,6月6日,風,,,,,
祖36,ストラスR,召喚,ラッシュ,トルーパー,,,166,女性,16,6月20日,風,,,,,
祖36,ストラス,召喚,バースト,トルーパー,,,166,女性,16,6月20日,風,,,,,
祖37,フェニックスC,召喚,カウンター,ファイター,,,174,男性,18,11月11日,火,,,,,
祖37,フェニックス,召喚,バースト,ファイター,,,174,男性,18,11月11日,火,,,,,
祖38,ハルファスR,召喚,ラッシュ,ファイター,2,,144,女性,15,5月18日,地,,,,,
祖38,ハルファス,召喚,バースト,ファイター,,,144,女性,15,5月18日,地,,,,,
祖39,マルファスB,召喚,バースト,トルーパー,,飛行,163,男性,17,3月6日,風,,,,,
祖39,マルファス,召喚,カウンター,トルーパー,,飛行,163,男性,17,3月6日,風,,,,,
祖40,ラウムC,召喚,カウンター,トルーパー,,,190,男性,18,5月24日,雷,,,,,
祖40,ラウム,召喚,バースト,トルーパー,,,190,男性,18,5月24日,雷,,,,,
祖41,フォカロルR,召喚,ラッシュ,トルーパー,,,183,男性,24,7月11日,風,,,,,
祖41,フォカロル,召喚,バースト,トルーパー,,,183,男性,24,7月11日,風,,,,,
祖42,ウェパルB,メイン,バースト,トルーパー,,,153,女性,17,4月2日,水,,,,,
祖42,ウェパル,メイン,ラッシュ,トルーパー,,,153,女性,17,4月2日,水,,,,,
祖43,サブナックB,イベント,バースト,ファイター,,,131,男性,19,8月5日,地,,,,,
祖43,サブナック,召喚,カウンター,ファイター,,,131,男性,19,8月5日,地,,,,,
祖44,シャックスB,召喚,バースト,ファイター,,,158,女性,16,6月2日,雷,,,,,
祖44,シャックス,メイン,カウンター,ファイター,,,158,女性,16,6月2日,雷,,,,,
祖45,ヴィネR,召喚,ラッシュ,スナイパー,,,154,女性,14,7月20日,水,,,,,
祖45,ヴィネ,召喚,バースト,スナイパー,,,154,女性,14,7月20日,水,,,,,
祖46,ビフロンスC,召喚,カウンター,トルーパー,,,169,女性,24,9月19日,水,,,,,
祖46,ビフロンス,召喚,ラッシュ,トルーパー,,,169,女性,24,9月19日,水,,,,,
祖47,ウヴァルC,イベント,カウンター,ファイター,,,174,女性,28,7月28日,地,,,,,
祖47,ウヴァル,召喚,ラッシュ,ファイター,,,174,女性,28,7月28日,地,,,,,
祖48,ハーゲンティB,イベント,バースト,トルーパー,,,145,女性,15,3月28日,雷,,,,,
祖48,ハーゲンティ,召喚,カウンター,トルーパー,,,145,女性,15,3月28日,雷,,,,,
祖49,クロケルR,召喚,ラッシュ,スナイパー,,,137,女性,,11月5日,水,,,,,
祖49,クロケル,召喚,バースト,スナイパー,,,137,女性,,11月5日,水,,,,,
祖50,フルカスC,召喚,カウンター,ファイター,,,174,女性,29,8月12日,氷,,,,,
祖50,フルカス,召喚,バースト,ファイター,,,174,女性,29,8月12日,氷,,,,,
祖51,バラムR,召喚,ラッシュ,ファイター,,,172,男性,,1月5日,風,,,,,
祖51,バラム,メイン,カウンター,ファイター,,,172,男性,,1月5日,風,,,,,
祖52,アロケルR,イベント,ラッシュ,ファイター,,,168,男性,16,2月20日,氷,,,,,
祖52,アロケル,召喚,カウンター,ファイター,,,168,男性,16,2月20日,氷,,,,,
祖53,カイムB,イベント,バースト,スナイパー,,,184,男性,27,6月16日,火,,,,,
祖53,カイム,召喚,カウンター,スナイパー,,,184,男性,27,6月16日,火,,,,,
祖54,ムルムルC,召喚,カウンター,スナイパー,2,,164,女性,19,8月30日,風,,,,,
祖54,ムルムル,召喚,ラッシュ,スナイパー,2,,164,女性,19,8月30日,風,,,,,
祖55,オロバスC,召喚,カウンター,スナイパー,,,182,男性,,10月19日,氷,,,,,
祖55,オロバス,召喚,ラッシュ,スナイパー,,,182,男性,,10月19日,氷,,,,,
祖56,グレモリーR,召喚,ラッシュ,ファイター,,,177,女性,35,6月28日,氷,,,,,
祖56,グレモリー,召喚,カウンター,ファイター,,,177,女性,35,6月28日,氷,,,,,
祖57,オセC,イベント,カウンター,ファイター,,,173,女性,,3月2日,氷,,,,,
祖57,オセ,召喚,ラッシュ,ファイター,,,173,女性,,3月2日,氷,,,,,
祖58,アミーC,召喚,カウンター,トルーパー,,,160,女性,26,12月12日,火,,,,,
祖58,アミー,召喚,バースト,トルーパー,,,160,女性,26,12月12日,火,,,,,
祖59,オリアスC,イベント,カウンター,スナイパー,,飛行,162,女性,,10月27日,氷,,,,,
祖59,オリアス,召喚,バースト,スナイパー,,飛行,162,女性,,10月27日,氷,,,,,
祖60,ウァプラR,召喚,ラッシュ,トルーパー,,,173,男性,,11月20日,水,,,,,
祖60,ウァプラ,召喚,バースト,トルーパー,,,173,男性,,11月20日,雷,,,,,
祖61,ザガンR,イベント,ラッシュ,ファイター,,,163,女性,17,7月15日,水,,,,,
祖61,ザガン,召喚,カウンター,ファイター,,,163,女性,17,7月15日,水,,,,,
祖62,ウァラクC,召喚,カウンター,トルーパー,,飛行,165,女性,28,9月21日,風,,,,,
祖62,ウァラク,召喚,バースト,トルーパー,,飛行,165,女性,28,9月21日,風,,,,,
祖63,アンドラスC,召喚,カウンター,トルーパー,,,174,男性,18,7月23日,風,,,,,
祖63,アンドラス,召喚,ラッシュ,トルーパー,,,174,男性,18,7月23日,雷,,,,,
祖64,フラウロスB,イベント,バースト,トルーパー,2,,173,男性,27,9月27日,水,,,,,
祖64,フラウロス,召喚,ラッシュ,トルーパー,2,,173,男性,27,9月27日,火,,,,,
祖65,アンドレアルフスC,召喚,カウンター,ファイター,,,173,男性,33,4月7日,風,,,,,
祖65,アンドレアルフス,イベント,ラッシュ,ファイター,2,,173,男性,33,4月7日,風,,,,,
祖66,キマリスC,イベント,カウンター,トルーパー,,,130,女性,10,5月29日,水,,,,,
祖66,キマリス,イベント,ラッシュ,トルーパー,,,130,女性,10,5月29日,水,,,,,
祖67,アムドゥスキアスB,メイン,バースト,スナイパー,,飛行,132,女性,14,2月5日,風,,,,,
祖67,アムドゥスキアス,召喚,カウンター,スナイパー,,飛行,132,女性,14,2月5日,風,,,,,
祖68,ベリアルB,召喚,バースト,スナイパー,,,149,女性,,2月11日,火,,,,,
祖68,ベリアル,メイン,ラッシュ,スナイパー,,,149,女性,,2月11日,地,,,,,
祖69,デカラビアB,イベント,バースト,スナイパー,,,168,男性,18,11月2日,氷,,,,,
祖69,デカラビア,召喚,ラッシュ,スナイパー,,,168,男性,18,11月2日,氷,,,,,
祖70,セーレR,イベント,ラッシュ,ファイター,,,133,男性,10,2月28日,風,,,,,
祖70,セーレ,召喚,カウンター,ファイター,,,133,男性,10,2月28日,風,,,,,
祖71,ダンタリオンR,召喚,ラッシュ,スナイパー,,,133,女性,12,10月22日,水,,,,,
祖71,ダンタリオン,召喚,バースト,スナイパー,,,133,女性,12,10月22日,氷,,,,,
祖72,アンドロマリウスC,召喚,カウンター,スナイパー,,,155,女性,16,9月10日,氷,,,,,
祖72,アンドロマリウス,召喚,ラッシュ,スナイパー,,,155,女性,16,9月10日,氷,,,,,
真01,リリムR,イベント,ラッシュ,スナイパー,,飛行,130,女性,,‐,地,,,,,
真01,リリム,召喚,バースト,スナイパー,,飛行,130,女性,,‐,地,,,,,
真02,ニバスB,イベント,バースト,スナイパー,,,153,女性,,‐,火,,,,,
真02,ニバス,召喚,ラッシュ,スナイパー,,,153,女性,,‐,火,,,,,
真03,サキュバスB,召喚,バースト,トルーパー,,,154,女性,,‐,雷,,,,,
真03,サキュバス,召喚,ラッシュ,トルーパー,,,154,女性,,‐,雷,,,,,
真04,ユフィールC,限定,カウンター,スナイパー,,,172,女性,,‐,風,,,,,
真04,ユフィール,限定,バースト,スナイパー,,,172,女性,,‐,風,,,,,
真05,フリアエR,召喚,ラッシュ,スナイパー,,,166,女性,,‐,氷,,,,,
真05,フリアエ,召喚,カウンター,スナイパー,,,166,女性,,‐,氷,,,,,
真06,アラストールB,イベント,バースト,トルーパー,,飛行,150,女性,,‐,地,,,,,
真06,アラストール,召喚,カウンター,トルーパー,,飛行,150,女性,,‐,地,,,,,
真07,ヒュトギンC,召喚,カウンター,スナイパー,,,177,男性,,‐,雷,,,,,
真07,ヒュトギン,イベント,バースト,スナイパー,,,177,男性,,‐,雷,,,,,
真08,ロキR,召喚,ラッシュ,トルーパー,,,177,男性,,‐,火,,,,,
真08,ロキ,イベント,カウンター,トルーパー,,,177,男性,,‐,火,,,,,
真09,インキュバスC,召喚,カウンター,ファイター,,,164,男性,,‐,水,,,,,
真09,インキュバス,召喚,ラッシュ,ファイター,,,164,男性,,‐,水,,,,,
真10,グリマルキンR,召喚,ラッシュ,スナイパー,,,150,女性,,‐,雷,,,,,
真10,グリマルキン,召喚,カウンター,スナイパー,,,150,女性,,‐,雷,,,,,
真11,コルソンR,召喚,ラッシュ,ファイター,,,123,女性,,‐,風,,,,,
真11,コルソン,召喚,カウンター,ファイター,,,123,女性,,‐,風,,,,,
真12,ジニマルR,召喚,ラッシュ,トルーパー,,,182,女性,,‐,水,,,,,
真12,ジニマル,イベント,カウンター,トルーパー,,,182,女性,,‐,水,,,,,
真13,バフォメット,召喚,ラッシュ,スナイパー,,,163,女性,,‐,水,,,,,
真14,サラB,召喚,バースト,ファイター,,,165,女性,,4月1日,火,,,,,
真14,サラ,召喚,ラッシュ,ファイター,,,165,女性,,4月1日,火,,,,,
真15,サタナキアB,召喚,バースト,スナイパー,,,190,男性,,‐,風,,,,,
真15,サタナキア,召喚,ラッシュ,スナイパー,,,190,男性,,‐,風,,,,,
真16,タナトス,召喚,カウンター,トルーパー,,,175,男性,,‐,地,,,,,
真17,ティアマトR,召喚,ラッシュ,ファイター,,,160,女性,,‐,？,,,,,
真17,ティアマト,召喚,カウンター,ファイター,,,160,女性,,‐,水,,,,,
真18,ブニB,イベント,バースト,ファイター,,,159,女性,,‐,地,,,,,
真18,ブニ,イベント,カウンター,ファイター,,,159,女性,,‐,雷,,,,,
真19,オリエンスB,召喚,バースト,スナイパー,,,159,女性,,‐,風,,,,,
真19,オリエンス,召喚,ラッシュ,スナイパー,,,159,女性,,‐,風,,,,,
真20,アリオク,イベント,カウンター,スナイパー,,,169,女性,,‐,風,,,,,
真21,リヴァイアサン,メイン,バースト,スナイパー,,,163,女性,,‐,水,,,,,
真22,カスピエルC,召喚,カウンター,トルーパー,,,183,男性,,3月3日,雷,,,,,
真22,カスピエル,イベント,バースト,トルーパー,,,183,男性,,3月3日,雷,,,,,
真23,ネフィリムB,限定,バースト,スナイパー,,,185,女性,,‐,地,,,,,
真23,ネフィリム,限定,カウンター,スナイパー,,,185,女性,,‐,地,,,,,
真24,ミノソン,限定,バースト,スナイパー,,,175,女性,,‐,雷,,,,,
真25,ニスロクB,限定,バースト,ファイター,,,184,男性,,‐,火,,,,,
真25,ニスロク,限定,ラッシュ,ファイター,,,184,男性,,‐,火,,,,,
真26,オレイ,召喚,バースト,ファイター,,,173,男性,,‐,氷,,,,,
真27,マルチネC,イベント,カウンター,ファイター,,,149,女性,,5月20日,風,,,,,
真27,マルチネ,召喚,バースト,ファイター,,,149,女性,,5月20日,風,,,,,
真28,アザゼル,召喚,ラッシュ,ファイター,2,,173,男性,,‐,地,,,,,
真29,アルマロス,召喚,バースト,スナイパー,,,169,女性,,‐,火,,,,,
真30,バラキエル,イベント,カウンター,スナイパー,,,117,女性,2,‐,氷,,,,,
真31,フルーレティB,召喚,バースト,スナイパー,,,161,女性,,‐,火,,,,,
真31,フルーレティ,召喚,カウンター,スナイパー,,,161,女性,,‐,火,,,,,
真32,ガギゾン,メイン,カウンター,スナイパー,,,170,男性,,‐,氷,,,,,
真33,ハックB,召喚,バースト,ファイター,,,190,男性,,‐,氷,,,,,
真33,ハック,イベント,カウンター,ファイター,,,190,男性,,‐,氷,,,,,
真34,マスティマ,イベント,カウンター,トルーパー,2,,167,女性,,‐,氷,,,,,
真35,ブリフォー,イベント,ラッシュ,ファイター,,,186,女性,,‐,風,,,,,
真36,メフィストC,イベント,カウンター,スナイパー,,,168,男性,,‐,雷,,,,,
真36,メフィスト,召喚,バースト,スナイパー,,,168,男性,,‐,雷,,,,,
真37,ネビロス,イベント,ラッシュ,スナイパー,2,,160,女性,,‐,雷,,,,,
真38,アガリアレプトR,召喚,ラッシュ,ファイター,,,161,女性,,‐,水,,,,,
真38,アガリアレプト,イベント,バースト,ファイター,,,161,女性,,‐,水,,,,,
真39,ウコバク,召喚,バースト,トルーパー,,,172,女性,,8月29日,火,,,,,
真40,グザファン,イベント,ラッシュ,スナイパー,2,,165,女性,,‐,風,,,,,
真41,アマイモンR,召喚,ラッシュ,ファイター,,,183,男性,,‐,地,,,,,
真41,アマイモン,召喚,カウンター,ファイター,,,183,男性,,‐,地,,,,,
真42,ルキフゲス,イベント,バースト,ファイター,,,190,男性,,‐,地,,,,,
真43,サルガタナス,メイン,バースト,スナイパー,,,163,女性,,‐,氷,,,,,
真44,タムス,限定,バースト,ファイター,,,164,男性,,‐,火,,,,,
真45,チェルノボグ,限定,バースト,ファイター,,,180,男性,70,9月6日,氷,,,,,
真46,アガシオン,召喚,カウンター,ファイター,,,131,男性,,‐,氷,,,,,
真47,ヴェルドレ,限定,バースト,スナイパー,,,173,女性,,,火,,,,,
真48,ウトゥック,メイン,ラッシュ,スナイパー,,,129,男性,,‐,地,,,,,
真49,サタナイル,イベント,バースト,トルーパー,,,179,女性,,‐,水,,,,,
真50,シャミハザR,召喚,ラッシュ,ファイター,,,185,男性,,6月13日,水,,,,,
真50,シャミハザ,イベント,カウンター,ファイター,,,185,男性,,6月13日,水,,,,,
真51,プルフラスB,召喚,バースト,ファイター,,,164,女性,,‐,雷,,,,,
真51,プルフラス,イベント,ラッシュ,ファイター,,,164,女性,,‐,雷,,,,,
真52,ジズR,召喚,ラッシュ,スナイパー,,,128,女性,,11月5日,風,,,,,
真52,ジズ,イベント,バースト,スナイパー,,,128,女性,,11月5日,風,,,,,
真53,ベバルC,召喚,カウンター,トルーパー,,,155,女性,,‐,火,,,,,
真53,ベバル,召喚,バースト,トルーパー,,,155,女性,,‐,火,,,,,
真54,アバラムC,召喚,カウンター,スナイパー,,,146,男性,,‐,火,,,,,
真54,アバラム,召喚,バースト,スナイパー,,,146,男性,,‐,火,,,,,
真55,アリトン,召喚,カウンター,スナイパー,,,186,男性,,‐,水,,,,,
真56,バロール,召喚,ラッシュ,ファイター,,,188,男性,,‐,氷,,,,,
真57,ベヒモスB,限定,バースト,ファイター,2,,186,男性,,‐,地,,,,,
真57,ベヒモス,限定,ラッシュ,ファイター,6,,186,男性,,‐,雷,,,,,
真58,ダゴンR,限定,ラッシュ,トルーパー,,,157,女性,,‐,地,,,,,
真58,ダゴン,限定,カウンター,トルーパー,,,157,女性,,‐,地,,,,,
真59,スコルベノトR,召喚,ラッシュ,トルーパー,,,155,男性,,‐,風,,,,,
真59,スコルベノト,召喚,カウンター,トルーパー,,,155,男性,,‐,風,,,,,
真60,メルコム,イベント,カウンター,トルーパー,,,160,女性,,‐,水,,,,,
真61,フィロタヌス,召喚,バースト,スナイパー,,,169,女性,,‐,火,,,,,
真62,インプR,召喚,ラッシュ,トルーパー,,飛行,134,女性,,,雷,,,,,
真62,インプ,召喚,バースト,トルーパー,,飛行,134,女性,,,雷,,,,,
真63,アマゼロトB,召喚,バースト,トルーパー,2,,188,男性,,‐,氷,,,,,
真63,アマゼロト,召喚,ラッシュ,トルーパー,2,,188,男性,,‐,氷,,,,,
真64,プロメテウスC,限定,カウンター,スナイパー,,,163,女性,,‐,火,,,,,
真64,プロメテウス,限定,バースト,スナイパー,,,163,女性,,‐,火,,,,,
真65,ベルフェゴール,メイン,カウンター,ファイター,2,,188,男性,,‐,風,,,,,
真66,マモン,メイン,ラッシュ,スナイパー,2,,171,女性,,‐,風,,,,,
真67,ルシファー,メイン,ラッシュ,ファイター,2,飛行,156,女性,,‐,風,,,,,
真68,ネルガルB,限定,バースト,スナイパー,,飛行,141,女性,,‐,火,,,,,
真68,ネルガル,限定,カウンター,スナイパー,,,141,女性,,‐,火,,,,,
真69,バールゼフォンC,限定,カウンター,スナイパー,,,185,男性,,‐,雷,,,,,
真69,バールゼフォン,限定,バースト,スナイパー,,,185,男性,,‐,雷,,,,,
真70,アスラフィル,限定,ラッシュ,トルーパー,,,152,女性,,‐,風,,,,,
真71,アクィエルB,限定,バースト,スナイパー,,,167,男性,,‐,氷,,,,,
真71,アクィエル,限定,カウンター,スナイパー,,,167,男性,,‐,氷,,,,,
真72,ゲイボルグ,限定,ラッシュ,トルーパー,2,,170,男性,,‐,氷,,,,,
宵01,リリス,特異限定,バースト,スナイパー,,飛行,160,女性,,‐,風,,,,,
宵02,バールベリト,特異限定,カウンター,トルーパー,,,172,男性,,‐,氷,,,,,
宵03,エウリノーム,特異限定,バースト,ファイター,,,186,男性,,‐,地,,,,,
宵04,ベルゼブフ,特異限定,カウンター,ファイター,2,,188,男性,,‐,氷,,,,,
宵05,サタン,特異限定,バースト,ファイター,,,189,男性,,‐,火,,,,,
宵06,モレク,特異限定,バースト,ファイター,,,230,男性,,‐,雷,,,,,
継01,カガセオ,召喚,バースト,ファイター,,,166,男性,17,5月5日,火,,,,,
継02,マナナンガル,召喚,カウンター,トルーパー,,飛行,174,女性,26,7月7日,風,,,,,
継03,シェンウー,召喚,カウンター,トルーパー,,,171,男性,32,11月3日,水,,,,,
継04,チンロン,召喚,カウンター,トルーパー,2,,195,男性,41,6月26日,雷,,,,,
継05,バイフー,召喚,バースト,トルーパー,,,154,女性,19,12月23日,氷,,,,,
継06,チューチャオ,召喚,ラッシュ,スナイパー,2,飛行,160,女性,14,2月14日,火,,,,,
継07,チユエン,召喚,ラッシュ,トルーパー,3,,165,男性,20,3月7日,風,,,,,
継08,ヴリトラ,召喚,カウンター,トルーパー,,,186,男性,22,9月4日,氷,,,,,
継09,フーリーチン,召喚,カウンター,スナイパー,,飛行,170,女性,,1月1日,火,,,,,
継11,アンダカ,召喚,カウンター,トルーパー,2,,175,男性,36,4月28日,風,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
